oid,label
837204200012897,0
837201300009822,1
837205100006036,1
837201400004363,1
837209100006214,1
837204300014374,1
837204300014317,1
837201400014352,1
837207100015832,1
837203300012813,0
837210100008610,1
837205400006208,1
837204300015197,0
837209300005264,0
837207100001827,0
837215300027631,1
837201200001766,0
837211300000451,0
837206400026713,0
837207300016946,1
837207300015662,1
837205400017196,1
837216300019867,1
837210400000238,1
837201100003729,1
837211400020060,0
837206200016197,1
837202400025803,1
837206100017101,1
837211200018335,1
837211200008589,1
837207100000800,1
837203100034989,1
837206100023574,1
837206200025758,1
837216400014277,1
837212400040363,1
837205100036750,1
837211200024876,1
837202100032745,1
837212400026291,1
837204200039377,1
837210200026013,1
837212300021241,1
837212400027573,1
837209300029756,1
837207300033256,1
837211400025602,1
837208300033225,1
837209200018422,1
